2.692127,2.233572,1.666371,1.811778,1.640717,2.21853
1.888798,1.839412,1.348818,1.57424,1.436969,1.762276
1.682148,1.729198,1.318967,1.41275,1.306568,1.513851
1.295152,1.490394,1.196115,1.277441,1.381966,1.462565
0.915389,1.13696,0.944259,0.991403,0.955006,1.185622
9.217113,4.354173,2.290852,2.028493,2.004788,1.886618
8.769774,4.401534,2.302854,2.096537,1.834937,1.933037
8.586378,4.275393,2.231712,1.798858,1.818763,1.847087
7.719561,3.858353,2.03296,1.604166,1.617734,1.57009
5.287953,2.665995,1.372023,1.174535,1.146578,1.154419
